timestamp,latitude,longitude,speed,satellites,imu_x,imu_y,imu_z,gyro_x,gyro_y,gyro_z,pressure
1768734739.8193622,11.126813,77.18395683333334,111.90895200000001,12,-17288,-5688,26356,3793,-1898,278,
1768734740.8310695,11.127088833333334,77.18395616666666,111.90895200000001,12,-17288,-5688,26356,3793,-1898,278,
1768734741.8095918,11.1273795,77.18395883333334,121.86900800000001,12,-11400,28064,-32513,4406,-3164,-166,
1768734742.7722425,11.127682,77.18396683333333,121.86900800000001,12,-11400,28064,-32513,4406,-3164,-166,
1768734743.8333793,11.127991833333333,77.18398183333333,128.854752,12,-22032,-10660,32767,2235,-7002,2238,
1768734744.829262,11.128311166666666,77.18400283333334,128.854752,12,-1168,48,31692,-327,-5350,4576,
1768734745.8077848,11.128639166666666,77.184032,134.203328,12,23532,-32768,32767,8220,-9722,85,
1768734746.819423,11.1289725,77.18406866666666,134.203328,12,23532,-32768,32767,8220,-9722,85,
1768734747.7820697,11.129305333333333,77.18409833333334,112.429364,12,32552,21300,21503,2294,-1836,5391,
1768734748.7939672,11.1296025,77.1841025,112.429364,12,7108,-23128,32644,-3754,-1358,3583,
1768734749.8057933,11.129845833333333,77.18406983333334,89.35344400000001,12,1284,-32576,32767,-104,-417,1519,
1768734750.7844508,11.130054,77.18398466666666,89.35344400000001,12,1284,-32576,32767,-104,-417,1519,
1768734751.8298485,11.130220833333333,77.183848,84.917904,12,-22132,-32672,32767,-1059,6126,-2494,
1768734752.808491,11.130323333333333,77.18367933333333,76.33944,12,-2952,26624,-32768,-3258,-7447,-2588,
1768734753.7538517,11.130348,77.18350266666667,69.512968,12,27135,7272,12287,5807,-636,-3447,
1768734754.7990894,11.130293166666666,77.18333983333333,69.242576,12,17151,7944,-32768,3317,-7352,-910,
1768734755.8108296,11.1301645,77.18321616666667,73.676264,12,-14180,-19360,32676,11527,15057,-633,
1768734756.78954,11.129980833333333,77.18315283333334,80.574964,12,-32572,19416,-32768,-8325,-5797,-1121,
1768734757.7853045,11.1297675,77.18316233333333,88.570048,12,-19452,-32516,-32768,-22663,-13254,-67,
1768734758.7971117,11.129544666666666,77.183234,95.57060800000001,12,8703,8444,-32513,14085,1842,-1519,
1768734759.8423502,11.129312333333333,77.18333866666667,111.8608,12,-22716,-2576,-22520,880,-2926,308,
1768734760.820993,11.1290585,77.18344516666667,118.33909600000001,12,26000,1016,-13188,1444,-4638,2319,
1768734761.8327775,11.128780833333334,77.1835375,122.16347599999999,12,26000,1016,-13188,1444,-4638,2319,
1768734762.8114347,11.128485,77.1836075,122.16347599999999,12,26000,1016,-13188,1444,-4638,2319,
1768734763.8567111,11.1281745,77.18365416666667,130.393764,12,-32708,15676,-27684,-599,27,378,
1768734764.8021586,11.127851166666666,77.18368016666666,130.393764,12,7680,-964,27648,2860,-3646,1135,
1768734765.8304543,11.127517833333334,77.1836875,136.6776,12,26852,11960,-17908,-215,-6071,-5829,
1768734766.760274,11.127176666666667,77.18368883333333,136.6776,12,26852,11960,-17908,-215,-6071,-5829,
1768734767.7717948,11.126829666666668,77.18369066666666,138.84073600000002,12,28172,1023,18808,-3906,684,-3219,
1768734768.8329916,11.126477,77.1836915,141.28352400000003,12,13496,-11104,-7168,-7928,-1721,-2596,
1768734769.7957368,11.126129833333334,77.18369183333333,114.38692800000001,12,31900,16968,-7244,-6433,2009,621,
1768734770.8075578,11.125825666666668,77.18368966666667,93.80935600000001,12,-1124,21560,-21249,3385,-4748,2415,
1768734771.7861037,11.125575166666666,77.18367416666666,79.632296,12,-1124,21560,-21249,3385,-4748,2415,
1768734772.8810096,11.125368666666667,77.18363366666667,69.972264,12,-1124,21560,-21249,3385,-4748,2415,
1768734773.8600273,11.125204833333333,77.1835555,69.972264,12,-1124,21560,-21249,3385,-4748,2415,
1768734774.9881215,11.125099166666667,77.18343116666667,64.58664800000001,12,-1192,-32688,764,-4453,4243,2571,
1768734775.9003742,11.1250625,77.18326416666666,79.971212,12,17528,27856,-29304,-1611,2057,923,
1768734776.9121087,11.125101,77.18307516666667,79.971212,12,17528,27856,-29304,-1611,2057,923,
1768734777.9574273,11.1252095,77.18288716666666,96.85034,12,-32636,2560,32255,3303,4540,2085,
1768734778.9359481,11.125370166666666,77.182711,96.85034,12,-32636,2560,32255,3303,4540,2085,
1768734780.0144126,11.1255325,77.18252433333333,92.54814400000001,12,-19856,1436,-13064,-8518,3537,2286,
1768734780.9930465,11.125647333333333,77.1823165,92.54814400000001,12,-19856,1436,-13064,-8518,3537,2286,
1768734781.9052708,11.125692,77.18209466666667,84.99198400000002,12,-21880,-17660,32652,-2746,7010,-276,
1768734782.834845,11.125658666666666,77.18188166666667,84.99198400000002,12,-21880,-17660,32652,-2746,7010,-276,
1768734783.7801113,11.125551666666667,77.18170016666667,84.20303200000001,12,-180,-10012,32767,3198,-6196,3523,
1768734784.8751268,11.125382333333333,77.18156983333333,90.977648,12,-2817,-14408,32736,-6110,1877,1210,
1768734785.9368021,11.125169333333334,77.18150566666667,96.53920400000001,12,-2817,-14408,32736,-6110,1877,1210,
1768734786.9653077,11.124933,77.181507,101.997048,12,-2817,-14408,32736,-6110,1877,1210,
1768734787.9937558,11.124690833333334,77.18157083333334,107.20857600000001,12,-17084,-12712,32767,6493,3735,1162,
1768734789.055353,11.124461166666666,77.181701,111.353352,12,-17084,-12712,32767,6493,3735,1162,
1768734790.2168515,11.124263666666666,77.18189416666667,111.353352,12,-17084,-12712,32767,6493,3735,1162,
1768734791.1786432,11.124112666666667,77.18213733333333,117.235304,12,12888,-9756,32728,-3064,549,1787,
1768734792.2402902,11.124018166666668,77.182416,117.235304,12,12888,-9756,32728,-3064,549,1787,
1768734793.2192369,11.123967166666667,77.18271316666667,122.932056,12,-248,8068,-32704,-6743,-6616,-4224,
1768734794.2476125,11.123959166666667,77.18302233333333,123.743232,12,-248,8068,-32704,-6743,-6616,-4224,
1768734795.309144,11.124012166666667,77.18333083333333,124.545148,12,-248,8068,-32704,-6743,-6616,-4224,
1768734796.2058752,11.124133,77.18362083333334,124.545148,12,23592,-13384,12287,-90,-1971,-1010,
1768734797.1177287,11.124314666666667,77.18388016666667,128.623252,12,29183,32532,-32592,-7961,-3540,-843,
1768734798.1293921,11.124543,77.1841075,128.623252,12,29183,32532,-32592,-7961,-3540,-843,
1768734799.041479,11.124795,77.18432216666666,134.91079200000001,12,-19428,4984,-5080,-11188,4167,596,
1768734799.9386985,11.125059333333333,77.18453366666667,135.74234,12,1760,-140,-21472,-6032,-2004,705,
1768734800.9495125,11.125324333333333,77.18475,137.348024,12,-18216,-17068,32767,6386,-290,2510,
1768734801.812219,11.125579833333333,77.1849825,137.348024,12,-18216,-17068,32767,6386,-290,2510,
1768734802.7905967,11.125802833333333,77.18524583333334,128.106544,12,-25864,-16028,32616,995,-3656,3318,
1768734803.719915,11.125966166666666,77.18553266666666,128.106544,12,-25864,-16028,32616,995,-3656,3318,
1768734804.8317227,11.126048666666666,77.18583633333333,123.49136000000001,12,-13664,-10960,-10752,-8195,-3597,3990,
1768734805.7439065,11.1260485,77.18614416666667,120.78929200000002,12,-32640,11064,-32513,-1665,-12139,-1216,
1768734806.7554924,11.125974666666666,77.1864405,106.50852,12,-32640,11064,-32513,-1665,-12139,-1216,
1768734807.8006816,11.1258705,77.18670166666666,106.50852,12,-32640,11064,-32513,-1665,-12139,-1216,
1768734808.7792144,11.125791833333333,77.18694016666667,83.406672,12,-16128,-18392,-604,-9073,4650,1688,
1768734809.7749133,11.125771666666667,77.187159,79.815644,12,-16128,-18392,-604,-9073,4650,1688,
1768734810.7865849,11.125823166666667,77.1873545,79.815644,12,-16128,-18392,-604,-9073,4650,1688,
1768734811.8650336,11.1259435,77.18751,80.31012799999999,12,-9704,-12488,1428,13067,-3682,1434,
1768734812.843577,11.126117,77.18760466666667,87.894068,12,-9704,-12488,1428,13067,-3682,1434,
1768734813.806322,11.126327833333333,77.18762833333334,96.039164,12,-9704,-12488,1428,13067,-3682,1434,
1768734814.8181508,11.1265595,77.18759516666667,96.039164,12,-9704,-12488,1428,13067,-3682,1434,
1768734815.796936,11.126804666666667,77.18752916666666,103.271224,12,-21504,-24672,32767,-1298,-373,-2,
1768734816.7594078,11.127065833333333,77.18744966666667,117.58718400000001,12,8092,-2884,27320,10829,1240,-1788,
1768734817.8203588,11.127342666666667,77.18736233333334,119.961448,12,8092,-2884,27320,10829,1240,-1788,
1768734818.8158755,11.127621333333334,77.18725233333333,116.81675200000001,12,8092,-2884,27320,10829,1240,-1788,
1768734819.8114426,11.127872666666667,77.18709733333333,116.81675200000001,12,8092,-2884,27320,10829,1240,-1788,
1768734820.8067822,11.128076,77.1868925,114.34433200000001,12,18828,14264,3752,-2079,-1699,775,
1768734821.768909,11.128220833333334,77.18664366666667,118.19464,12,18828,14264,3752,-2079,-1699,775,
1768734822.731181,11.128321833333333,77.18636466666666,118.19464,12,18828,14264,3752,-2079,-1699,775,
1768734823.7595623,11.128422,77.186094,111.68486,12,-11636,-18012,-8704,-8315,-2532,1106,
1768734824.6553266,11.128546333333333,77.18586433333333,90.927644,12,-20180,10292,-10600,-5921,-7258,2307,
1768734825.6506622,11.128714833333333,77.18570366666667,91.509172,12,-20180,10292,-10600,-5921,-7258,2307,
1768734826.6129005,11.128922666666666,77.18561216666667,93.614896,12,-15616,-28416,32680,-554,5648,3685,
1768734827.6080804,11.129152666666666,77.1855965,94.56497200000001,12,-15616,-28416,32680,-554,5648,3685,
1768734828.6034453,11.129378833333334,77.18565733333334,101.29884400000002,12,-15616,-28416,32680,-554,5648,3685,
1768734829.6320286,11.129597666666667,77.18577783333333,103.289744,12,9471,15596,32767,5877,-4030,2281,
1768734830.5938933,11.129827166666667,77.18589733333333,103.289744,12,9471,15596,32767,5877,-4030,2281,
1768734831.6222446,11.130052666666666,77.18596516666666,86.688416,12,4852,-24140,32620,-1648,2964,1256,
1768734832.502247,11.130271333333333,77.18597066666666,86.688416,12,4852,-24140,32620,-1648,2964,1256,
1768734833.5799508,11.130466833333333,77.1859175,79.323012,12,2948,-5260,18687,9621,-127,2796,
1768734834.5752125,11.130620833333333,77.18579833333334,82.917744,12,1336,20904,-5377,4664,-4542,2831,
1768734835.5705297,11.130721833333334,77.18562116666666,82.917744,12,1336,20904,-5377,4664,-4542,2831,
1768734836.5659277,11.1307625,77.185406,88.95156,12,-31312,-6048,7404,-3445,3822,-313,
1768734837.5943432,11.130732833333333,77.18519366666666,84.23822,12,-8708,12688,-29440,-6835,-483,-310,
1768734838.5565205,11.130629333333333,77.18500783333333,85.81242,12,-22272,15668,276,3679,4031,-2100,
1768734839.5850036,11.130465166666667,77.18485183333334,92.35553600000001,12,-7916,11608,-22748,-1577,-2714,-245,
1768734840.5803623,11.1302595,77.18472583333333,104.032396,12,25624,23456,12799,1423,-5256,6041,
1768734841.542528,11.130021333333334,77.18463216666666,104.032396,12,25624,23456,12799,1423,-5256,6041,
1768734842.537912,11.129756166666667,77.184565,110.89035200000001,12,7828,6100,32767,10472,-437,2340,
1768734843.5663853,11.129472666666667,77.18451583333334,116.235224,12,-31336,-12908,6712,2544,3636,-302,
1768734844.5618243,11.1291785,77.18448533333333,125.00259199999999,12,-2708,-16268,32767,20,1223,-1644,
1768734845.5573168,11.128869666666667,77.184466,129.799272,12,-2708,-16268,32767,20,1223,-1644,
1768734846.552852,11.128547833333334,77.18444683333334,129.799272,12,-2708,-16268,32767,20,1223,-1644,
1768734847.647847,11.128225166666667,77.184438,116.23152,12,-17276,-7744,-3452,1348,9780,1565,
1768734848.5436244,11.127926333333333,77.18446933333334,110.595884,12,-17276,-7744,-3452,1348,9780,1565,
1768734849.6214697,11.127663,77.18456666666667,108.96427200000001,12,-17276,-7744,-3452,1348,9780,1565,
