gps_unix_time,lat,lon,sats,speed_kmh,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1772917046.199,10.00218,76.37933,5,0.68,4266,-728,7630,41,-622,-281
1772917046.306,10.00218,76.37933,5,0.68,4530,-393,7101,134,-507,-308
1772917046.389,10.00218,76.37933,5,0.68,4659,-281,6983,71,-506,-285
1772917046.505,10.00218,76.37933,5,0.53,5329,334,6494,527,-298,-180
1772917046.588,10.00218,76.37933,5,0.53,4732,234,6092,-228,80,123
1772917046.705,10.00218,76.37933,5,0.72,5100,395,6385,166,208,85
1772917046.788,10.00218,76.37933,5,0.72,4614,441,6732,179,297,42
1772917046.906,10.00218,76.37933,5,0.81,4711,433,7034,-12,-12,51
1772917046.988,10.00218,76.37933,5,0.81,4623,374,6861,94,93,65
1772917047.105,10.00218,76.37933,5,1.20,4662,594,6751,54,129,136
1772917047.187,10.00218,76.37933,5,1.20,4322,566,6887,63,261,215
1772917047.295,10.00218,76.37933,5,0.77,4132,461,7457,50,955,267
1772917047.393,10.00218,76.37933,5,0.77,2841,486,7400,139,977,320
1772917047.505,10.00218,76.37933,5,0.64,2185,574,7853,275,911,171
1772917047.587,10.00218,76.37933,5,0.64,1822,601,7962,47,768,151
1772917047.714,10.00218,76.37932,5,0.49,1309,449,8386,40,492,239
1772917047.784,10.00218,76.37932,5,0.49,1067,565,8137,113,297,259
1772917047.905,10.00217,76.37931,5,0.12,636,518,8804,38,558,395
1772917047.987,10.00217,76.37931,5,0.12,306,642,8697,-98,689,413
1772917048.095,10.00217,76.37931,5,1.29,-565,416,9250,-106,876,611
1772917048.194,10.00217,76.37931,5,1.29,-1223,-16,9227,-568,542,201
1772917048.289,10.00217,76.37931,5,1.29,-1592,-5,8923,-594,434,72
1772917048.389,10.00217,76.37931,5,1.29,-1369,224,8656,-215,69,-309
1772917048.493,10.00217,76.37931,5,1.29,-1109,-57,7823,-633,388,-474
1772917048.590,10.00217,76.37931,5,1.29,-1653,-1354,6661,-428,259,-93
1772917048.699,10.00217,76.3793,5,1.14,-1333,-1891,6278,-813,-242,-169
1772917048.804,10.00217,76.3793,5,1.14,-1325,-2328,6283,-546,-352,392
1772917048.888,10.00217,76.3793,5,1.14,-1745,-2386,6676,-346,-517,568
1772917048.996,10.00217,76.3793,5,2.38,-2132,-2747,6751,117,-450,777
1772917049.090,10.00217,76.3793,5,2.38,-1873,-2666,7226,428,-313,637
1772917049.195,10.00217,76.37931,5,3.81,-2042,-2495,7613,638,26,708
1772917049.294,10.00217,76.37931,5,3.81,-2644,-1613,8447,342,-88,570
1772917049.394,10.00217,76.37931,5,3.81,-2233,-1681,8596,-43,-546,23
1772917049.491,10.00217,76.3793,5,3.79,-1491,-1126,7877,528,-431,-368
1772917049.605,10.00217,76.3793,5,3.68,-887,-386,7720,1130,-443,-480
1772917049.688,10.00217,76.3793,5,3.68,-687,152,7413,1706,-398,-285
1772917049.795,10.00217,76.3793,5,2.44,-193,1369,8298,1628,101,-566
1772917049.894,10.00217,76.3793,5,2.44,-621,3395,7419,1583,300,-263
1772917049.990,10.00217,76.3793,5,2.44,-963,3753,8072,641,34,-17
1772917050.105,10.00217,76.3793,5,1.38,-1071,4152,6982,421,150,9
1772917050.189,10.00217,76.3793,5,1.38,-1048,4431,6623,604,353,-33
1772917050.305,10.00217,76.3793,5,0.68,-1233,4720,6040,772,228,83
1772917050.395,10.00217,76.3793,5,0.26,-1143,5205,6842,449,5,12
1772917050.495,10.00217,76.3793,5,0.49,-1129,5375,6148,333,116,123
1772917050.612,10.00217,76.3793,5,0.49,-1177,5555,6237,7,-156,75
1772917050.686,10.00217,76.3793,5,0.49,-1100,5510,5964,-34,-19,48
1772917050.796,10.00217,76.3793,5,0.32,-930,5448,5849,-193,12,5
1772917050.891,10.00217,76.3793,5,0.32,-1065,5320,7680,-1133,-209,73
1772917051.000,10.00217,76.3793,5,0.54,-690,3783,8892,-1872,-330,1
1772917051.106,10.00217,76.3793,5,0.54,-391,2213,8439,-2331,-137,135
1772917051.188,10.00217,76.3793,5,0.54,-523,1527,7704,-1789,282,86
1772917051.305,10.00217,76.3793,5,0.41,-468,-1320,7980,-2240,-342,78
1772917051.389,10.00217,76.3793,5,0.41,-18,-2888,7961,-2561,-175,76
1772917051.497,10.00217,76.37931,5,0.12,126,-4533,6646,-1662,269,306
1772917051.600,10.00217,76.37931,5,0.12,90,-5502,5509,-1191,-272,2
1772917051.690,10.00217,76.37931,5,0.12,195,-6441,4898,-1199,-249,-217
1772917051.808,10.00217,76.3793,5,0.17,499,-6608,4084,1,-23,58
1772917051.890,10.00217,76.3793,5,0.17,309,-6512,4733,216,-22,6
1772917052.005,10.00218,76.3793,5,0.09,-19,-4963,4042,3424,491,-361
1772917052.089,10.00218,76.3793,5,0.09,1361,-5292,5937,4865,-210,-788
1772917052.197,10.00218,76.37931,5,0.15,66,-118,10202,1451,-250,-613
1772917052.295,10.00218,76.37931,5,0.15,313,169,8970,25,-165,-104
1772917052.391,10.00218,76.37931,5,0.15,539,263,8423,-16,34,-33
1772917052.500,10.00218,76.37931,5,0.26,327,519,8341,-120,-179,37
1772917052.607,10.00218,76.37931,5,0.26,395,402,8326,-45,-32,-50
1772917052.690,10.00218,76.37931,5,0.26,786,499,7621,-17,-404,-130
1772917052.805,10.00218,76.37931,5,0.23,2506,-203,8515,-1234,-3117,-112
1772917052.888,10.00218,76.37931,5,0.23,4968,-850,7621,-1029,-2962,-329
1772917052.993,10.00218,76.37931,5,0.07,5846,-928,5222,-142,-1404,-389
1772917053.097,10.00218,76.37931,5,0.43,6740,-1124,5324,-337,-1406,-126
1772917053.208,10.00218,76.37931,5,0.43,6931,-750,4375,-48,11,-25
1772917053.305,10.00218,76.37931,5,0.43,6911,-742,4968,56,519,-47
1772917053.388,10.00218,76.37931,5,0.43,5934,-442,6253,399,4117,-188
1772917053.508,10.00218,76.37932,5,0.44,3135,-83,7055,683,4236,-53
1772917053.590,10.00218,76.37932,5,0.44,839,518,7496,-396,172,497
1772917053.697,10.00218,76.37932,5,0.17,790,-55,8590,-81,617,-53
1772917053.802,10.00218,76.37932,5,0.25,47,124,8700,-61,1402,-212
1772917053.905,10.00218,76.37932,5,0.25,-1461,-222,9131,-970,3251,-1360
1772917053.989,10.00218,76.37932,5,0.25,-3225,-1772,5370,-916,2298,-221
1772917054.105,10.00218,76.37932,5,0.44,-5183,-1508,5835,-77,606,234
1772917054.191,10.00218,76.37932,5,0.44,-5406,-1563,7448,101,268,255
1772917054.305,10.00218,76.37932,5,0.44,-5333,-1284,6178,65,-159,122
1772917054.395,10.00218,76.37932,5,0.86,-5780,-1114,6568,83,-675,302
1772917054.497,10.00218,76.37932,5,0.16,-3867,-942,5793,531,-2831,323
1772917054.597,10.00218,76.37932,5,0.16,-43,826,10733,333,-5260,884
1772917054.707,10.00218,76.37932,5,0.16,913,409,7731,223,402,343
1772917054.790,10.00218,76.37932,5,0.16,1417,82,6953,35,-68,587
1772917054.908,10.00218,76.37932,5,0.70,1705,263,8690,264,243,632
1772917054.997,10.00218,76.37932,5,0.08,1284,181,8049,121,937,669
1772917055.098,10.00218,76.37933,5,0.09,807,603,8710,162,187,1096
1772917055.198,10.00218,76.37933,5,0.09,-1437,1167,7835,640,4195,-185
1772917055.307,10.00218,76.37933,5,0.09,-5121,1056,7926,-496,1383,-61
1772917055.390,10.00218,76.37933,5,0.09,-4172,-211,7018,-935,1051,-374
1772917055.508,10.00218,76.37933,5,0.49,-5306,441,6302,-573,101,523
1772917055.596,10.00218,76.37933,5,0.70,-5175,532,6529,-398,-42,311
1772917055.702,10.00218,76.37933,5,0.50,-4409,-385,6349,-173,-301,544
1772917055.798,10.00218,76.37933,5,0.33,-4476,68,6798,-314,-272,481
1772917055.893,10.00218,76.37933,5,0.33,-4203,705,7458,-334,-194,293
1772917056.003,10.00218,76.37933,5,0.33,-3336,880,7146,-365,-469,248
1772917056.099,10.00218,76.37933,5,0.29,-2749,-361,7088,-356,-751,463
1772917056.207,10.00218,76.37933,5,0.29,-2999,-390,8662,-419,-962,738
1772917056.298,10.00218,76.37933,5,0.67,-2596,219,7489,-451,-866,1269
1772917056.407,10.00218,76.37933,5,0.67,-1070,-594,7761,-148,-1549,1186
1772917056.503,10.00218,76.37933,5,0.67,109,-832,7958,16,-1785,759
1772917056.595,10.00218,76.37933,5,0.67,790,-887,9181,-113,-805,682
1772917056.698,10.00218,76.37933,5,0.67,1538,-197,7264,-99,-1496,246
1772917056.800,10.00218,76.37933,5,2.04,2554,-520,7518,139,-1023,100
1772917056.898,10.00218,76.37933,5,2.04,3645,-300,8352,-97,-2014,248
1772917057.003,10.00218,76.37933,5,1.35,6370,-757,5744,-352,-3536,72
1772917057.099,10.00218,76.37933,5,1.30,7267,-705,4002,-107,-2386,130
1772917057.194,10.00218,76.37933,5,1.30,7596,-966,2996,-274,-1035,124
1772917057.299,10.00218,76.37933,5,1.30,8023,-1093,1764,59,-630,-35
1772917057.397,10.00218,76.37933,5,1.30,7870,-1065,1484,211,-661,64
1772917057.501,10.00218,76.37933,5,2.10,8024,-728,105,1419,1765,301
1772917057.606,10.00218,76.37933,5,2.10,7989,-971,4259,2142,3597,330
1772917057.698,10.00218,76.37933,5,2.82,6262,-596,5648,1898,3417,766
1772917057.802,10.00218,76.37933,5,2.90,3491,404,7351,1574,2453,1042
1772917057.908,10.00218,76.37933,5,2.90,1773,711,7423,418,1024,574
1772917057.993,10.00218,76.37933,5,2.90,2128,504,7551,597,1390,826
1772917058.105,10.00218,76.37933,5,1.89,1100,1004,7207,-23,1117,1014
1772917058.199,10.00218,76.37933,5,2.02,322,1847,9027,-267,724,952
1772917058.294,10.00218,76.37933,5,2.02,897,1290,8639,-303,151,672
1772917058.400,10.00218,76.37933,5,2.02,370,1863,8886,-209,-25,678
1772917058.494,10.00218,76.37933,5,2.02,-16,1017,8201,-389,-391,513
1772917058.603,10.00218,76.37933,5,2.02,-172,1920,9579,-300,-541,1114
1772917058.703,10.00218,76.37933,5,2.02,119,1932,6972,-613,103,1182
1772917058.799,10.00218,76.37935,5,2.37,-159,1394,7115,24,31,1503
1772917058.897,10.00218,76.37935,5,2.37,-227,1372,7596,209,88,1452
1772917059.999,10.00218,76.37935,5,2.37,194,942,8703,405,-119,1386
1772917059.095,10.00218,76.37935,5,2.37,-861,2902,11225,684,637,1869
1772917059.202,10.00218,76.37935,5,2.37,2549,571,7431,-36,-267,1094
1772917059.307,10.00218,76.37935,5,2.37,727,1824,7352,-151,829,1433
1772917059.393,10.00218,76.37935,5,2.37,835,586,6611,109,18,1150
1772917059.505,10.00218,76.37935,5,1.56,-154,484,9187,298,459,482
1772917059.599,10.00217,76.37935,5,2.56,522,530,9805,91,465,494
1772917059.707,10.00217,76.37935,5,2.56,-575,2537,9866,-227,371,165
1772917059.805,10.00217,76.37935,5,2.56,192,739,6195,-286,4,248
1772917059.897,10.00217,76.37936,5,4.17,-1140,2435,9561,-465,139,1082
1772917059.994,10.00217,76.37936,5,4.17,-231,1175,6170,-549,29,1036
1772917060.098,10.00217,76.37936,5,4.17,-90,-188,6563,141,-248,1071
1772917060.204,10.00217,76.37936,5,3.65,-552,-638,7936,451,192,1037
1772917060.305,10.00217,76.37936,5,3.65,-1577,-587,7684,204,172,723
1772917060.397,10.00217,76.37936,5,3.59,-1862,-1144,7294,-14,-140,-110
1772917060.494,10.00217,76.37936,5,3.59,-1350,-1119,6824,-177,-359,-725
1772917060.598,10.00217,76.37936,5,3.59,2947,3820,6899,1866,-284,-157
1772917060.700,10.00217,76.37936,5,3.52,1562,1813,11897,-553,256,-1562
1772917060.804,10.00217,76.37936,5,3.72,34,74,5819,25,700,-645
1772917060.905,10.00217,76.37936,5,3.90,344,1393,4609,-34,-863,-2038
1772917060.993,10.00217,76.37936,5,3.90,1790,1219,12317,-116,-483,-1695
1772917061.105,10.00216,76.37936,5,4.28,-801,3553,12585,-1377,-920,-1408
1772917061.200,10.00216,76.37937,5,4.86,2908,-6,3261,-157,308,-1130
1772917061.307,10.00216,76.37937,5,4.86,-926,2486,12260,136,-394,543
1772917061.395,10.00216,76.37937,5,4.86,633,1301,4204,-443,558,349
1772917061.505,10.00216,76.37937,5,4.87,2419,130,4985,789,-125,1056
1772917061.599,10.00216,76.37937,5,6.05,640,3618,15095,857,483,1518
1772917061.731,10.00216,76.37937,5,6.05,275,59,6072,-407,787,310
1772917061.784,10.00216,76.37937,5,6.05,574,-749,5989,341,1383,578
1772917061.897,10.00216,76.37938,5,5.95,-1732,1070,5614,-528,1728,665
1772917062.999,10.00216,76.37938,5,5.95,-2503,226,5418,-313,1063,-18
1772917062.105,10.00216,76.37939,5,5.55,-4915,1782,10238,548,670,-143
1772917062.197,10.00216,76.37939,5,5.39,-6109,3011,7924,176,241,-821
1772917062.299,10.00216,76.37939,5,4.56,-4773,1455,6144,371,266,-503
1772917062.404,10.00216,76.37939,5,4.56,-3876,1251,5073,-192,-751,-348
1772917062.498,10.00216,76.37939,5,4.87,-2834,886,5454,-436,-871,-183
1772917062.606,10.00216,76.37939,5,4.87,-3084,2619,8084,316,-2697,890
1772917062.698,10.00216,76.3794,5,5.08,-987,2324,12706,84,-2442,1320
1772917062.795,10.00216,76.3794,5,5.08,2011,-270,5368,-1255,-2976,-305
1772917062.906,10.00216,76.3794,5,5.02,3000,-588,6341,-948,-1036,326
