lat,long,speed,imu_brake,gps_brake,brake_delta,imu_accel,gps_accel,accel_delta
10.9006210,77.0533600,54.41,0.000,0.000,0.000,0.028,0.088,-0.060
10.9006270,77.0533700,54.16,0.000,0.000,0.000,0.015,0.086,-0.071
10.9006380,77.0534000,54.91,0.000,0.000,0.000,0.022,0.083,-0.062
10.9006410,77.0534100,54.65,0.000,0.000,0.000,0.039,0.083,-0.044
10.9006440,77.0534200,55.00,0.000,0.000,0.000,0.111,0.084,0.026
10.9006490,77.0534500,55.67,0.000,0.000,0.000,0.166,0.087,0.079
10.9006500,77.0534700,55.92,0.000,0.000,0.000,0.204,0.093,0.111
10.9006500,77.0534800,56.33,0.000,0.000,0.000,0.226,0.100,0.127
10.9006510,77.0535000,56.79,0.000,0.000,0.000,0.254,0.107,0.147
10.9006510,77.0535100,57.31,0.000,0.000,0.000,0.236,0.114,0.122
10.9006500,77.0535200,57.70,0.000,0.000,0.000,0.196,0.119,0.077
10.9006480,77.0535500,58.62,0.000,0.000,0.000,0.173,0.121,0.051
10.9006460,77.0535680,58.83,0.000,0.000,0.000,0.190,0.119,0.070
10.9006440,77.0535800,59.30,0.000,0.000,0.000,0.184,0.114,0.070
10.9006420,77.0536000,60.10,0.000,0.000,0.000,0.137,0.104,0.033
10.9006400,77.0536300,60.70,0.000,0.000,0.000,0.089,0.092,-0.003
10.9006390,77.0536400,61.64,0.000,0.000,0.000,0.072,0.078,-0.006
10.9006380,77.0536600,61.66,0.013,0.000,0.013,0.000,0.063,-0.063
10.9006380,77.0536700,62.37,0.044,0.000,0.044,0.000,0.048,-0.048
