tick_ms,row_type,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,lat,lon,alt,speed,sats,vbat
31042,I,0.0928,0.1155,1.3422,2.32,3.23,-0.61,,,,,,
31052,I,0.1331,0.0164,0.6967,-4.21,1.28,0.00,,,,,,
31062,I,0.2493,-0.0360,0.9022,-2.26,-2.44,0.18,,,,,,
31072,I,0.0677,0.1125,1.3800,2.99,3.23,-0.61,,,,,,
31082,I,0.1859,-0.0026,0.6791,-3.05,-1.16,0.30,,,,,,
31101,I,0.0996,0.1129,1.2728,2.50,3.11,-0.12,,,,,,
31111,I,0.1859,0.0048,0.6271,-4.15,0.18,0.24,,,,,,
31121,I,0.1971,-0.0031,1.1002,-2.50,-0.98,-0.06,,,,,,
31131,I,0.0559,0.0900,1.2335,1.59,3.17,-0.37,,,,,,
31141,I,0.2721,-0.0065,0.6389,-2.68,-2.74,0.73,,,,,,
31152,I,0.2086,0.0210,1.1702,-1.40,0.24,-0.43,,,,,,
31162,I,0.1273,0.0791,1.0999,0.85,2.26,-0.06,,,,,,
31172,I,0.2255,-0.0035,0.6852,-3.35,-0.61,0.43,,,,,,
31182,I,0.0946,0.0270,1.3020,-2.20,1.28,-0.30,,,,,,
31192,I,0.0842,0.0709,1.0443,-0.24,2.07,0.00,,,,,,
31202,I,0.3115,-0.0408,0.6356,-2.26,-3.60,0.79,,,,,,
31212,I,0.1451,0.0546,1.3275,-0.30,1.71,-0.73,,,,,,
31222,I,0.1512,0.0642,1.0273,-0.61,1.34,0.00,,,,,,
31232,I,0.2588,-0.0205,0.6312,-3.05,-1.10,0.55,,,,,,
31242,I,0.0844,0.0359,1.3627,-1.34,1.71,-0.49,,,,,,
31252,I,0.1008,0.0626,1.0325,-1.34,1.83,-0.06,,,,,,
31262,I,0.2961,-0.0454,0.6466,-2.44,-3.11,0.85,,,,,,
31272,I,0.1400,0.0621,1.3314,0.49,1.71,-0.67,,,,,,
31282,I,0.1586,0.0634,0.9846,-0.55,1.10,0.18,,,,,,
